message,label
"Aaj class cancel ho gayi hai.",not-spam
"Main thak gayi hoon, kal baat karte hain.",not-spam
"Exam ki tayari kaisi chal rahi hai?",not-spam
"Hum weekend par shopping ke liye ja rahe hain.",not-spam
"Ap mujhe apni location send kar dena.",not-spam
"Main ne tumhari file email kar di hai.",not-spam
"Kal subah 9 baje class hai.",not-spam
"Thank you, mujhe assignment mil gaya.",not-spam
"Apko 1 lakh rupay ka inaam mila hai! Claim karne ke liye abhi call karein.",spam
"Congratulations! Aap ko cash reward ke liye select kiya gaya hai.",spam
"Free 5GB data offer! Abhi activate karein aur free internet hasil karein.",spam
"URGENT! Aapki banking information verify nahi hui. Abhi verification karein.",spam
"Sirf aaj! Har purchase par 90 percent discount hasil karein.",spam
"Aap lucky winner hain! Apna gift hasil karne ke liye details bhejein.",spam
"Free mobile phone jeetne ka chance! Abhi lucky draw join karein.",spam
"Apke number par Rs 25,000 ka bonus available hai.",spam
"Special customer offer! Free voucher claim karne ke liye contact karein.",spam
"Account suspend hone wala hai. Verification ke liye link open karein.",spam
"Congratulations dear! Aap ne mega prize jeeta hai.",spam
"Free balance hasil karein. Apna number send karein aur reward lein.",spam
"Online earning ka golden chance! Ghar bethay paisay kamayen.",spam
"Aap ka prize ready hai. Delivery ke liye address confirm karein.",spam
"Limited time! Free shopping voucher hasil karein.",spam
"Rs 50,000 cash reward claim karne ka aakhri chance hai.",spam
"Aapko exclusive discount mila hai. Offer activate karein.",spam
"Winner notification: Aapka number lucky draw mein select hua hai.",spam
"Free internet package ke liye YES reply karein.",spam
"Prize lene ke liye is number par foran rabta karein.",spam
"Congratulations! You have been selected for a special cash prize.",spam
"Apka free gift expire hone wala hai. Abhi claim karein.",spam
"Special loan offer! Bina security ke loan hasil karein.",spam
"Free recharge offer sirf limited users ke liye available hai.",spam
"Aapko Rs 10,000 ka reward diya ja raha hai. Claim now.",spam
"Win a brand new smartphone! Registration abhi complete karein.",spam
"Apni prize details verify karne ke liye link par click karein.",spam
"Urgent action required! Account ko active rakhne ke liye verify karein.",spam
"Free gift jeetne ke liye apna naam aur number bhejein.",spam
"Exclusive offer! Aapko 75 percent discount voucher mila hai.",spam
"Congratulations! Lucky draw ka result aa gaya hai aur aap winner hain.",spam
"Free data aur free calls hasil karein. Offer abhi activate karein.",spam
"Apka reward claim nahi hua. Abhi contact karein.",spam
"Rs 30,000 ka cash bonus aapke liye available hai.",spam
"Special promotion! Sirf aaj registration bilkul free hai.",spam
"Prize claim karne ke liye apna CNIC number send karein.",spam
"Free shopping voucher ke liye registration form fill karein.",spam
"Your number has won a special prize. Contact us now.",spam
"Online job offer! Rozana ghar bethay achi earning karein.",spam
"Limited offer! Free package hasil karne ka mauqa haath se na jane dein.",spam
"Apko lucky customer reward mila hai. Details ke liye WhatsApp karein.",spam
"Congratulations! Aapka reward successfully approve ho gaya hai.",spam
"Free mobile balance claim karne ke liye YES bhejein.",spam
"Urgent! Apka account verification pending hai.",spam
"Special prize offer! Abhi participate karein aur jeetne ka chance hasil karein.",spam
"Aapke liye 100 percent free gift available hai.",spam
"Cash prize lene ke liye given number par call karein.",spam
"Free internet offer activate karne ke liye link open karein.",spam
"Golden prize winner list mein aapka naam hai.",spam
"Offer expire hone se pehle apna voucher claim karein.",spam
"Kal university ki timing kya hai?",not-spam
"Main ghar pohanch gayi hoon, tum kahan ho?",not-spam
"Please mujhe assignment ka format send kar do.",not-spam
"Aaj lunch mein kya khaya?",not-spam
"Kal class mein milte hain.",not-spam
"Mujhe tumhari help project mein chahiye.",not-spam
"Main abhi lecture attend kar rahi hoon.",not-spam
"Teacher ne homework diya hai kya?",not-spam
"Please mujhe notes ki PDF bhej dena.",not-spam
"Ammi market ja rahi hain, kuch mangwana hai?",not-spam
"Kal exam ke liye group study karenge.",not-spam
"Main ne tumhara message abhi dekha hai.",not-spam
"Apna laptop kal university le aana.",not-spam
"Main thori der se university pohanchungi.",not-spam
"Class ka room change ho gaya hai.",not-spam
"Mujhe ye topic bilkul samajh nahi aa raha.",not-spam
"Kal assignment ki submission hai.",not-spam
"Can you explain this question to me?",not-spam
"Main abhi dinner bana rahi hoon.",not-spam
"Please mujhe call kar lena jab free ho.",not-spam
"Kal hum project ki presentation practice karenge.",not-spam
"Main ne teacher ko assignment send kar diya hai.",not-spam
"Bus kitne baje aa rahi hai?",not-spam
"Apki class khatam ho gayi?",not-spam
"Main library mein hoon.",not-spam
"Kal tumhare ghar aa sakti hoon?",not-spam
"Mujhe ek pen chahiye, tumhare paas extra hai?",not-spam
"Aaj bohat garmi hai.",not-spam
"Please mujhe kal subah message kar dena.",not-spam
"Main apna project complete kar rahi hoon.",not-spam
"Teacher ne kaha hai attendance zaroori hai.",not-spam
"Kal kis topic ka test hai?",not-spam
"Main ne apni books pack kar li hain.",not-spam
"University se ghar ja rahi hoon.",not-spam
"Mujhe tumhari file receive ho gayi hai.",not-spam
"Can you send me the assignment questions?",not-spam
"Main weekend par ghar jaungi.",not-spam
"Kal meeting 11 baje hai.",not-spam
"Mujhe apna password yaad nahi aa raha.",not-spam
"Phone charging par laga hua hai.",not-spam
"Main abhi kitchen mein hoon.",not-spam
"Kal hum market chalenge.",not-spam
"Please meri attendance check kar dena.",not-spam
"Main ne chai bana li hai.",not-spam
"Apko meri presentation kaisi lagi?",not-spam
"Kal teacher se project ke bare mein poochna hai.",not-spam
"Main abhi ghar mein hoon.",not-spam
"Assignment submit kar diya hai.",not-spam
"Good night, kal baat karte hain.",not-spam
"Main tumhein notes shaam ko bhej dungi.",not-spam
"Kal class ke baad cafeteria mein milte hain.",not-spam
"Exam ki tayari complete ho gayi?",not-spam
"Main ne aaj Python practice ki hai.",not-spam
"Please mujhe bata dena jab tum free ho.",not-spam
"Kal university mein event hai.",not-spam
"Main abhi bus ka wait kar rahi hoon.",not-spam
"Teacher ne project ki instructions bheji hain.",not-spam
"Mujhe kal jaldi uthna hai.",not-spam
"Apni book mere liye le aana.",not-spam
"Main ne dinner kar liya hai.",not-spam
"Kal milte hain, Allah Hafiz.",not-spam
"Can you check my code please?",not-spam
"Main apna laptop charge kar rahi hoon.",not-spam
"Class mein aaj kya parha?",not-spam
"Please mujhe group mein add kar dena.",not-spam
